"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"421",1,3,9,2,35,1
"422",2,3,9,2,6,1
"423",1,3,9,6,47,1
"424",1,3,9,3,48,1
"425",1,3,9,9,23,1
"426",1,3,9,1,51,1
"427",1,3,19,1,39,1
"428",1,3,9,1,35,1
"429",1,3,9,9,19,1
"430",2,3,9,9,21,1
"431",1,3,9,3,57,1
"432",1,3,1,3,36,1
"433",1,3,9,3,40,1
"434",3,3,9,1,12,1
"435",1,3,9,1,25,1
"436",3,3,9,1,67,1
"437",1,3,9,1,64,1
"438",1,3,20,1,57,1
"439",3,3,20,1,55,1
"440",1,3,9,1,33,1
"441",3,3,9,2,11,1
"442",1,3,9,9,48,1
"443",1,3,9,1,35,1
"444",3,3,9,1,7,1
"445",2,3,9,1,25,1
"446",1,3,9,1,22,1
"447",2,3,9,1,21,1
"448",1,3,19,1,34,1
"449",2,3,19,9,24,1
"450",1,3,9,1,21,1
"451",3,3,9,1,26,1
"452",1,2,9,1,88,1
"453",1,3,9,1,24,1
"454",2,3,9,1,23,1
"455",1,3,9,1,72,1
"456",1,3,9,1,21,1
"457",2,3,9,1,21,1
"459",1,3,1,1,41,1
"460",1,2,5,1,36,1
"461",3,3,9,1,7,1
"462",1,3,9,1,79,1
"463",1,3,9,8,27,1
"464",2,3,9,8,36,1
"465",1,3,9,1,59,1
"466",2,3,9,1,10,1
"467",3,2,9,8,14,1
"468",1,3,4,2,49,1
"469",1,3,1,1,50,1
"470",1,3,9,5,33,1
"471",2,3,9,5,26,1
"472",1,3,9,1,39,1
"473",1,3,9,3,36,1
"474",1,3,9,1,35,1
"475",1,3,9,1,35,1
"476",2,3,9,1,35,1
"477",3,3,9,1,36,1
"478",3,2,9,1,22,1
"479",1,3,9,1,47,1
"480",2,3,9,1,46,1
"481",2,3,9,1,16,1
"482",1,3,9,1,32,1
"483",2,3,9,1,62,1
"484",2,3,9,1,62,1
"485",1,3,9,1,70,1
"486",2,3,9,1,70,1
"487",3,3,8,2,77,1
"488",1,3,21,1,49,1
"489",3,3,9,1,14,1
"490",1,3,9,1,32,1
"491",3,3,21,1,54,1
"492",3,3,9,1,4,1
"493",3,2,9,2,37,1
"494",1,3,9,2,44,1
"495",1,3,9,2,23,1
"496",2,2,9,1,19,1
"497",2,2,9,1,15,1
"498",2,2,9,1,25,1
"499",1,3,9,1,46,1
"500",1,1,5,1,46,1
"501",1,3,1,1,43,1
"502",3,3,9,1,4,1
"503",1,3,9,1,25,1
"504",1,2,5,1,53,1
"505",1,3,1,1,50,1
"506",3,3,9,1,55,1
"507",1,2,3,1,21,1
"508",1,3,9,1,26,1
"509",1,3,9,1,38,1
"510",1,2,5,1,74,1
"511",1,3,9,1,37,1
"512",1,3,8,1,45,1
"513",1,3,9,1,51,1
"514",1,3,9,1,24,1
"515",1,3,9,1,34,1
"516",2,3,9,1,20,1
"517",1,3,9,1,57,1
"518",1,3,9,1,62,1
"519",1,3,9,1,41,1
"520",1,3,9,1,23,1
"521",1,3,8,1,40,1
"522",2,3,9,1,51,1
"523",1,3,1,1,37,1
"524",1,3,9,1,27,1
"525",1,3,20,1,31,1
"526",1,3,1,1,59,1
"527",3,3,9,1,14,1
"528",3,3,9,1,60,1
"529",1,3,9,1,30,1
"530",3,3,9,1,51,1
"531",1,3,9,1,54,1
"532",3,3,9,1,43,1
"533",1,3,9,1,26,1
"534",1,3,9,1,29,1
"535",3,2,9,1,11,1
"536",1,3,9,1,31,1
"537",1,3,9,1,22,1
"538",3,3,5,1,25,1
"539",1,3,5,1,24,1
"540",2,3,5,1,22,1
"541",1,3,9,1,24,1
"542",1,3,9,1,27,1
"543",3,3,9,1,40,1
"544",2,3,9,1,19,1
"545",1,3,1,1,30,1
"546",3,3,9,1,6,1
"547",1,3,1,2,40,1
"548",1,3,5,1,50,1
"549",1,3,9,1,79,1
"550",1,3,9,1,73,1
"551",1,3,9,1,64,1
"552",1,3,9,1,55,1
"553",3,2,9,1,20,1
"554",1,3,2,1,19,1
